date,mean_consumption,median_consumption,std_consumption,day,holiday
2012-10-22,10.130984910836762,8.254,7.984508206732509,0,0
2012-10-23,9.996618295299395,8.219,7.8130203492978,1,0
2012-10-24,9.69412118264929,7.892,7.4541543915389425,2,0
2012-10-25,9.967709615012575,8.141,7.743993169370838,3,0
2012-10-26,10.566976153846154,8.395,8.632566930646279,4,0
2012-10-27,11.2038225,8.703,9.563699254217157,5,0
2012-10-28,11.958661923076923,9.318000000000001,9.993423402619932,6,0
2012-10-29,10.899441538461538,8.6115,8.928620876740956,0,0
2012-10-30,10.725945758799769,8.422,8.983601140385689,1,0
2012-10-31,10.745524523946914,8.413,9.170684276675704,2,0
2012-11-01,10.711141538461538,8.4185,9.00473996296937,3,0
2012-11-02,10.932441153846154,8.437000000000001,9.44308634923937,4,0
2012-11-03,11.312407692307692,8.884,9.962470788972837,5,0
2012-11-04,12.533978076923077,9.7655,10.74032232311692,6,0
2012-11-05,11.29393998845932,8.789,9.79092911467954,0,0
2012-11-06,11.448585,8.8195,10.090929154916616,1,0
2012-11-07,11.135891346153846,8.692,9.535384548053015,2,0
2012-11-08,10.833346671796845,8.556999999999999,9.146783417409159,3,0
2012-11-09,10.833447970763608,8.505,8.998398016670784,4,0
2012-11-10,11.286591730769231,8.876000000000001,9.185290854323746,5,0
2012-11-11,11.92131,9.555,9.701694453543327,6,0
2012-11-12,11.317848624735527,8.906,9.805261388012001,0,0
2012-11-13,10.647620769230768,8.4155,9.49432596126613,1,0
2012-11-14,10.60186173076923,8.4565,9.388532357056704,2,0
2012-11-15,10.849074230769231,8.561499999999999,9.867658903473725,3,0
2012-11-16,11.18324,8.7505,10.445882489337611,4,0
2012-11-17,11.413921908059242,9.045,9.965851585828526,5,0
2012-11-18,12.018465858819004,9.53,10.64741190736346,6,0
2012-11-19,11.330952115384616,8.858,10.220498426062436,0,0
2012-11-20,11.213565769230769,8.8645,9.795518011596137,1,0
2012-11-21,11.231721923076922,8.958,9.622476798717386,2,0
2012-11-22,10.898881538461538,8.6065,9.514487581951556,3,0
2012-11-23,10.92712350904194,8.516,9.791145908434371,4,0
2012-11-24,12.009962100808004,9.3525,10.797990020360382,5,0
2012-11-25,12.109515576923076,9.623999999999999,10.519393266828644,6,0
2012-11-26,11.426356222350451,8.913,10.337889371437209,0,0
2012-11-27,11.584859780727063,8.954,10.612627665760366,1,0
2012-11-28,11.841756346153847,9.071,10.91353438679471,2,0
2012-11-29,11.942435192307693,9.037500000000001,11.349572514335383,3,0
2012-11-30,12.215889807692308,9.1135,11.764438907005498,4,0
2012-12-01,13.017341346153847,9.758,12.293628201535537,5,0
2012-12-02,13.60701576923077,10.341,12.638714139483408,6,0
2012-12-03,12.294149423076922,9.232,11.336223824736335,0,0
2012-12-04,12.174330000000001,9.1485,11.456853254142827,1,0
2012-12-05,12.611648653846155,9.396,12.169781638409972,2,0
2012-12-06,12.88992,9.527,12.682043194219863,3,0
2012-12-07,12.733195384615383,9.446,12.111426612215869,4,0
2012-12-08,12.720904615384615,9.5655,12.025869430157654,5,0
2012-12-09,13.360319807692308,10.2165,12.090426436493667,6,0
2012-12-10,12.447361538461537,9.307500000000001,11.438831343757396,0,0
2012-12-11,11.718539334487401,8.721,11.865224614020223,1,0
2012-12-12,13.203013464127718,9.646,12.780572953533664,2,0
2012-12-13,13.278461730769232,9.682500000000001,13.184188185273674,3,0
2012-12-14,13.014975187536065,9.613,12.339117777424907,4,0
2012-12-15,12.416460280823236,9.483,11.075772966559121,5,0
2012-12-16,12.729056164647048,9.852,10.876041999441021,6,0
2012-12-17,11.921991346153847,9.2405,10.385261758769275,0,0
2012-12-18,11.932283653846154,9.287500000000001,10.466499595599828,1,0
2012-12-19,12.361868820927102,9.41,10.991958195360482,2,0
2012-12-20,12.218787459126755,9.426,10.618818632779108,3,0
2012-12-21,11.99006540977299,9.159,10.617710658182839,4,0
2012-12-22,12.348448634090033,9.6525,10.50480158701188,5,0
2012-12-23,11.910257214313198,9.2605,10.059367680956809,6,0
2012-12-24,12.037741389263036,9.352,10.670726636062593,0,0
2012-12-25,12.477352375456817,8.883,12.024333046023887,1,1
2012-12-26,11.656574451712197,8.676,11.01344564213201,2,1
2012-12-27,11.835738695401194,8.992,10.787317725940515,3,0
2012-12-28,11.752630050019238,9.051,10.300992410512894,4,0
2012-12-29,11.669238699749952,9.149,9.732818549298914,5,0
2012-12-30,11.912884378607156,9.1755,10.319290619870495,6,0
2012-12-31,11.898986145853378,9.239,10.411237464589542,0,0
2013-01-01,11.837146951336795,9.17,10.161380506579121,1,1
2013-01-02,11.975926909020965,9.21,10.412932428122277,2,0
2013-01-03,11.355294151596768,8.845,9.567940679463193,3,0
2013-01-04,11.378707636083861,8.882,9.56916367715115,4,0
2013-01-05,11.658642046547413,9.067,9.788136491955838,5,0
2013-01-06,12.342799076212472,9.7085,10.059699849222431,6,0
2013-01-07,11.611043285879184,9.0675,9.883016745399749,0,0
2013-01-08,11.200344170834937,8.729,9.665264950096622,1,0
2013-01-09,11.274697634160415,8.801,9.53237158240936,2,0
2013-01-10,12.04769128678592,9.204,10.727268289068519,3,0
2013-01-11,12.071953644931718,8.989,10.934544324217022,4,0
2013-01-12,13.01192110833173,9.802,11.73307512405654,5,0
2013-01-13,13.585891325254856,10.242,12.086873226311202,6,0
2013-01-14,13.14229948066936,9.728,12.362728156342513,0,0
2013-01-15,12.89385302039246,9.375,12.336118134002623,1,0
2013-01-16,13.10182743362832,9.5555,12.528714070017708,2,0
2013-01-17,13.218728934205462,9.533000000000001,12.904886091636468,3,0
2013-01-18,13.994576457010963,9.909,13.766676642369415,4,0
2013-01-19,14.64030525100981,10.795,13.944671294093013,5,0
2013-01-20,14.941264473937297,11.052,14.080777069268647,6,0
2013-01-21,13.833570879015195,10.068,13.317383528607433,0,0
2013-01-22,13.46559088286209,9.715,13.287177823504512,1,0
2013-01-23,13.273738026543567,9.722,12.66904346493867,2,0
2013-01-24,13.299831441216087,9.635,12.859237462788855,3,0
2013-01-25,13.347194150471426,9.663,12.99697637236918,4,0
2013-01-26,12.776874951904578,9.4855,11.892065708675549,5,0
2013-01-27,12.864480761831473,9.842,11.199553462740507,6,0
2013-01-28,12.317042139695978,9.302,11.227632211595761,0,0
2013-01-29,11.60032755966128,8.906,10.176201317409785,1,0
2013-01-30,11.052388033859177,8.5665,9.53198037682833,2,0
2013-01-31,11.26152924201616,8.682,9.923118601076588,3,0
2013-02-01,11.5348708373436,8.799,10.219429907290397,4,0
2013-02-02,12.319870502212815,9.319,10.84026164902367,5,0
2013-02-03,13.270509426702576,10.0815,11.624933284412707,6,0
2013-02-04,11.58379007119492,8.88,10.203794185809912,0,0
2013-02-05,11.956602270540696,9.087,10.9133376473938,1,0
2013-02-06,12.183405041370023,9.224,11.177743593475872,2,0
2013-02-07,12.19258937848759,9.028,11.485863346229717,3,0
2013-02-08,12.048108908985952,8.912,11.384064242388062,4,0
2013-02-09,12.787650885296383,9.514,11.641409090205771,5,0
2013-02-10,13.533520015396459,10.231,11.880135714112853,6,0
2013-02-11,12.981496055416589,9.539,12.373676874555676,0,0
2013-02-12,12.877153742543776,9.384,12.5640451188114,1,0
2013-02-13,12.629664357197845,9.216999999999999,12.150254130040617,2,0
2013-02-14,11.906087391722812,8.881,11.19707511312715,3,0
2013-02-15,11.50290858352579,8.692,10.586603047284125,4,0
2013-02-16,11.512958814472672,8.862,10.095122976073995,5,0
2013-02-17,12.018197343088179,9.346499999999999,10.803626917353581,6,0
2013-02-18,11.505722917067539,8.72,10.99939790388891,0,0
2013-02-19,11.339133923417355,8.53,10.673732726400106,1,0
2013-02-20,11.66182345013477,8.778500000000001,10.829517778545343,2,0
2013-02-21,12.732020400307928,9.317,12.230927368680897,3,0
2013-02-22,12.808292940950183,9.171,12.692134158436039,4,0
2013-02-23,13.207694823936887,9.479,12.911960205124563,5,0
2013-02-24,13.943720361816782,10.315999999999999,13.202879125393302,6,0
2013-02-25,12.976138514813389,9.404,12.783226735931482,0,0
2013-02-26,12.508462677953059,9.056000000000001,12.097930594815752,1,0
2013-02-27,12.023891668270156,8.781,11.498976502702394,2,0
