date,air_temperature_mean,dewpoint_mean,rltv_hum_mean,air_temperature_min,rltv_hum_min,air_temperature_max,prcp_count,day,holiday,mean_consumption,median_consumption,std_consumption
2012-11-14,10.504166666666666,7.691666666666666,83.67083333333333,5.7,53.6,14.5,0,2,0,10.60186173076923,8.4565,9.388532357056704
2012-11-15,6.091666666666666,4.9,92.5875,2.7,72.8,9.7,0,3,0,10.849074230769231,8.561499999999999,9.867658903473725
2012-11-16,7.570833333333333,6.183333333333334,90.94583333333333,5.9,86.3,9.7,0,4,0,11.18324,8.7505,10.445882489337611
2012-11-17,10.25,8.341666666666667,88.18333333333334,6.4,75.1,12.4,3,5,0,11.413921908059242,9.045,9.965851585828526
2012-11-18,3.5625,1.4625,87.14166666666667,-1.1,57.8,9.6,0,6,0,12.018465858819004,9.53,10.64741190736346
2012-11-19,6.966666666666666,4.775,86.58749999999999,-0.1,66.2,11.3,0,0,0,11.330952115384616,8.858,10.220498426062436
2012-11-20,12.191666666666668,10.625,90.07083333333333,10.8,82.8,13.5,7,1,0,11.213565769230769,8.8645,9.795518011596137
2012-11-21,8.75,7.495833333333334,91.825,3.3,87.2,11.5,10,2,0,11.231721923076922,8.958,9.622476798717386
2012-11-22,10.929166666666667,7.6875,81.15833333333333,3.6,68.7,13.5,4,3,0,10.898881538461538,8.6065,9.514487581951556
2012-11-23,6.554166666666667,5.033333333333333,90.675,2.7,67.8,11.8,6,4,0,10.92712350904194,8.516,9.791145908434371
2012-11-24,5.941666666666666,5.483333333333333,96.93333333333334,0.9,93.3,9.9,12,5,0,12.009962100808004,9.3525,10.797990020360382
2012-11-25,10.191666666666666,6.704166666666667,79.40833333333333,7.2,65.9,12.3,8,6,0,12.109515576923076,9.624,10.519393266828644
2012-11-26,8.0375,6.695833333333333,91.375,6.0,77.3,10.9,10,0,0,11.426356222350451,8.913,10.337889371437209
2012-11-27,7.262499999999999,5.675,89.71249999999999,6.3,79.6,8.6,11,1,0,11.584859780727063,8.954,10.612627665760366
2012-11-28,5.895833333333333,2.8708333333333336,80.94166666666666,3.4,74.9,6.9,0,2,0,11.841756346153849,9.071,10.91353438679471
2012-11-29,2.6875,-0.0708333333333333,82.15416666666667,-1.5,67.8,6.6,0,3,0,11.942435192307691,9.0375,11.349572514335383
2012-11-30,-0.0125,-1.45,89.32083333333333,-3.4,71.6,5.0,0,4,0,12.215889807692308,9.1135,11.764438907005498
2012-12-01,0.9375,-0.7208333333333333,87.88333333333333,-3.1,73.8,6.1,0,5,0,13.017341346153849,9.758,12.293628201535537
2012-12-02,0.05,-1.7833333333333332,86.80833333333334,-4.1,62.6,6.0,2,6,0,13.60701576923077,10.341,12.638714139483408
2012-12-03,6.675,4.558333333333334,87.11666666666667,2.0,67.3,10.6,10,0,0,12.294149423076922,9.232,11.336223824736336
2012-12-04,3.408333333333333,0.5833333333333334,82.24583333333334,-2.3,63.9,8.0,0,1,0,12.17433,9.1485,11.456853254142828
2012-12-05,0.775,-1.7333333333333334,82.92083333333333,-3.2,69.7,4.0,1,2,0,12.611648653846157,9.396,12.169781638409972
2012-12-06,0.3374999999999999,-1.7208333333333332,84.71666666666667,-4.7,68.3,4.7,3,3,0,12.88992,9.527,12.682043194219863
2012-12-07,4.779166666666667,1.1375,77.98333333333333,2.8,57.1,6.9,5,4,0,12.733195384615383,9.446,12.111426612215867
2012-12-08,3.6166666666666663,1.1625,84.25,-0.5,71.7,6.4,0,5,0,12.720904615384615,9.5655,12.025869430157654
2012-12-09,6.529166666666666,3.2291666666666665,80.02083333333333,1.4,63.1,9.0,0,6,0,13.360319807692308,10.2165,12.090426436493669
2012-12-10,3.7416666666666663,0.1208333333333333,77.29166666666667,1.5,68.0,5.8,0,0,0,12.447361538461536,9.3075,11.438831343757396
2012-12-11,-0.0916666666666666,-1.7416666666666665,87.8875,-3.0,71.8,3.2,0,1,0,11.7185393344874,8.721,11.865224614020224
2012-12-12,-2.575,-3.125,93.1875,-3.7,91.8,-0.7,0,2,0,13.203013464127718,9.646,12.780572953533664
2012-12-13,-0.2416666666666666,-1.9708333333333328,86.95833333333333,-2.5,75.8,1.7,1,3,0,13.278461730769232,9.6825,13.184188185273674
2012-12-14,6.7,5.179166666666666,90.425,1.5,76.0,10.5,9,4,0,13.014975187536065,9.613,12.339117777424908
2012-12-15,8.491666666666667,5.9875,84.2375,6.3,75.7,11.4,2,5,0,12.416460280823236,9.483,11.07577296655912
2012-12-16,6.529166666666666,4.8625,89.49583333333334,3.1,71.2,10.6,4,6,0,12.729056164647048,9.852,10.87604199944102
2012-12-17,6.1875,4.1375,87.21666666666665,4.0,71.1,9.3,2,0,0,11.921991346153847,9.2405,10.385261758769277
2012-12-18,5.779166666666666,3.8708333333333336,87.47083333333335,2.1,79.0,7.9,0,1,0,11.932283653846154,9.2875,10.466499595599828
